benchmark_id,algorithm_family,solver,matrix_model,n_value,target_kappa,achieved_kappa,tolerance,repeats,status,median_total_seconds,p25_total_seconds,p75_total_seconds,median_build_seconds,median_solve_seconds,median_relative_residual,min_relative_residual,max_relative_residual,median_iterations,memory_proxy_bytes,output_contract,comparison_scope,notes
sparse_cg_n500_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,500,100,100.0,0.0001,3,ok,0.001370500001939945,0.001354250001895707,0.0014705500070704147,0.0002724000078160316,0.0011115999950561672,9.80262795669902e-05,9.80262795669902e-05,9.80262795669902e-05,48.0,27980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n1000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,1000,100,100.00000000000001,0.0001,3,ok,0.0014973999932408333,0.0014777999967918731,0.0015180999980657361,0.0002759000053629279,0.0012214999878779054,9.475992710869933e-05,9.475992710869933e-05,9.475992710869933e-05,48.0,55980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n2000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,2000,100,100.0,0.0001,3,ok,0.0019162000098731369,0.0018548000080045313,0.0020634000029531308,0.00030449999030679464,0.001600300005520694,9.597792262814296e-05,9.597792262814296e-05,9.597792262814296e-05,48.0,111980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n5000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,5000,100,100.0,0.0001,3,ok,0.0033279999915976077,0.0032822499924805015,0.003372599996509962,0.0005218000005697832,0.0027960000006714836,9.55132683628695e-05,9.55132683628695e-05,9.55132683628695e-05,48.0,279980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n10000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,10000,100,100.0,0.0001,3,ok,0.0050432999996701255,0.004792300002009142,0.005342199998267461,0.0007163999980548397,0.004426699990290217,8.933827235269558e-05,8.933827235269558e-05,8.933827235269558e-05,48.0,559980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n20000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,20000,100,100.00000000000001,0.0001,3,ok,0.008077599995885976,0.007927799997560214,0.008235050001530908,0.0014075000071898103,0.006477100003394298,9.229303434309365e-05,9.229303434309365e-05,9.229303434309365e-05,48.0,1119980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n50000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,50000,100,100.0,0.0001,3,ok,0.020525100000668317,0.019943100000091363,0.020698649997939356,0.003067799989366904,0.017470699996920303,9.272434028501179e-05,9.272434028501179e-05,9.272434028501179e-05,48.0,2799980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n100000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,100000,100,100.0,0.0001,3,ok,0.042722999991383404,0.04259164999530185,0.04503200000181096,0.006241199997020885,0.03673520000302233,9.269418198596427e-05,9.269418198596427e-05,9.269418198596427e-05,48.0,5599980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n250000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,250000,100,100.0,0.0001,3,ok,0.23738789999333676,0.2354095999908168,0.2391136500009452,0.014876599991112016,0.22251130000222474,9.300789924831568e-05,9.300789924831568e-05,9.300789924831568e-05,48.0,13999980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n500000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,500000,100,100.0,0.0001,3,ok,0.47021489999315236,0.46378264999657404,0.475870849993953,0.030631900008302182,0.43577289998938795,9.287930403336478e-05,9.287930403336478e-05,9.287930403336478e-05,48.0,27999980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n1000000_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,1000000,100,100.0,0.0001,3,ok,0.8609336000081385,0.8549078500000178,0.8886215000093216,0.06051799999841023,0.8004156000097282,9.279610250782236e-05,9.279610250782236e-05,9.279610250782236e-05,48.0,55999980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
dense_cholesky_n20_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,20,1000,178.06427461085983,0.0001,3,ok,0.00016959999629762024,0.00015159999747993425,0.0002701999983401038,8.72999953571707e-05,8.230000094044954e-05,2.3972347012356682e-15,2.3972347012356682e-15,2.3972347012356682e-15,,3520,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n50_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,50,1000,1000.0,0.0001,3,ok,0.00019350000366102904,0.0001714000027277507,0.00030080000578891486,0.00010170000314246863,9.180000051856041e-05,5.012785907832881e-15,5.012785907832881e-15,5.012785907832881e-15,,20800,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n100_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,100,1000,1000.0,0.0001,3,ok,0.00034980000054929405,0.0003092499973718077,0.00038874999881954864,0.00010750000365078449,0.0002367999986745417,9.563969208769848e-15,9.563969208769848e-15,9.563969208769848e-15,,81600,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n250_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,250,1000,1000.0000000000001,0.0001,3,ok,0.0015483000024687499,0.00140790000295965,0.002012299999478273,0.00036779999209102243,0.0011406999983591959,5.451127007276857e-15,5.451127007276857e-15,5.451127007276857e-15,,504000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n500_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,500,1000,999.9999999999999,0.0001,3,ok,0.005406800002674572,0.005306899998686276,0.006556950000231154,0.0007958000060170889,0.004572100006043911,8.235076622459655e-15,8.235076622459655e-15,8.235076622459655e-15,,2008000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n1000_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,1000,1000,1000.0000000000001,0.0001,3,ok,0.03194390000135172,0.031108499999390915,0.03401999999914551,0.003763000000617467,0.030402799995499663,6.91331474527373e-15,6.91331474527373e-15,6.91331474527373e-15,,8016000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n2000_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,2000,1000,999.9999999999999,0.0001,3,ok,0.18401830000220798,0.18375795000611106,0.18806490000133635,0.011731499995221384,0.18011300000944175,1.2293580817579675e-14,1.2293580817579675e-14,1.2293580817579675e-14,,32032000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n3000_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,3000,1000,999.9999999999999,0.0001,3,ok,0.49085679999552667,0.4908033500032616,0.49552679999760585,0.012700000006589107,0.4858193999971263,1.4186495527109259e-14,1.4186495527109259e-14,1.4186495527109259e-14,,72048000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n5000_k1000,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,5000,1000,1000.0,0.0001,3,ok,1.8767863999964902,1.8450201999949059,1.9093519499947433,0.03449789999285713,1.8681519999954617,7.74899203903233e-15,7.74899203903233e-15,7.74899203903233e-15,,200080000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
sparse_cg_n20_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,20,1000,178.06427461085983,0.0001,3,ok,0.0011489000025903806,0.0010455000010551885,0.0013731500002904795,0.0005025999998906627,0.0006463000026997179,1.5782132456760722e-15,1.5782132456760722e-15,1.5782132456760722e-15,20.0,1100,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n50_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,50,1000,1000.0,0.0001,3,ok,0.002059599995845929,0.001763699998264201,0.0020731499971589074,0.0004883000074187294,0.00144680000084918,8.720493694851314e-15,8.720493694851314e-15,8.720493694851314e-15,50.0,2780,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n100_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,100,1000,1000.0,0.0001,3,ok,0.00219719999586232,0.002180449999286793,0.0031378499988932163,0.0003180999920004979,0.0019039000035263598,3.058832445155209e-05,3.058832445155209e-05,3.058832445155209e-05,99.0,5580,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n250_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,250,1000,1000.0000000000001,0.0001,3,ok,0.0029181999998399988,0.0029054499973426573,0.0032852500007720664,0.00027269999554846436,0.0026485999987926334,9.572988987327465e-05,9.572988987327465e-05,9.572988987327465e-05,135.0,13980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n500_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,500,1000,999.9999999999999,0.0001,3,ok,0.003407700001844205,0.0033505500032333657,0.003850800007057842,0.0003308000013930723,0.0030769000004511327,8.883880566033076e-05,8.883880566033076e-05,8.883880566033076e-05,143.0,27980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n1000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,1000,1000,1000.0000000000001,0.0001,3,ok,0.003986099996836856,0.0039585499980603345,0.00401994999992894,0.0002845999988494441,0.0036488000041572377,8.959242319640546e-05,8.959242319640546e-05,8.959242319640546e-05,147.0,55980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n2000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,2000,1000,999.9999999999999,0.0001,3,ok,0.00479819999600295,0.004791599996678997,0.004828499993891455,0.0003079000016441569,0.004477099995710887,9.327794447445907e-05,9.327794447445907e-05,9.327794447445907e-05,152.0,111980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n5000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,5000,1000,1000.0,0.0001,3,ok,0.007358999995631166,0.007301949997781776,0.007705399992119055,0.00040520000038668513,0.006953799995244481,9.91475186980288e-05,9.91475186980288e-05,9.91475186980288e-05,150.0,279980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n10000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,10000,1000,999.9999999999999,0.0001,3,ok,0.0127238999994006,0.01228409999748692,0.0135974000004353,0.0006845999887445942,0.011987199992290698,9.760666658117956e-05,9.760666658117956e-05,9.760666658117956e-05,151.0,559980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n20000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,20000,1000,999.9999999999999,0.0001,3,ok,0.0216082999977516,0.021066449997306336,0.021918350001215003,0.0015984000056050718,0.0197113000031095,9.415181243519553e-05,9.415181243519553e-05,9.415181243519553e-05,152.0,1119980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n50000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,50000,1000,999.9999999999999,0.0001,3,ok,0.05368060000182595,0.05239514999993844,0.05465640000329586,0.0031039000023156404,0.0503657000081148,9.824947215941209e-05,9.824947215941209e-05,9.824947215941209e-05,151.0,2799980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n100000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,100000,1000,999.9999999999999,0.0001,3,ok,0.10840769999776967,0.10530529999959981,0.11079070000414504,0.006731200002832338,0.10069199999270495,9.978597888213856e-05,9.978597888213856e-05,9.978597888213856e-05,151.0,5599980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n250000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,250000,1000,1000.0000000000002,0.0001,3,ok,0.7445396000111941,0.7353446500055725,0.7520692000034614,0.014147200010484084,0.73039240000071,9.465938920852895e-05,9.465938920852895e-05,9.465938920852895e-05,152.0,13999980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n500000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,500000,1000,1000.0000000000001,0.0001,3,ok,1.3185941999981878,1.3075995999970473,1.3378538999968441,0.028631499997572973,1.2865581999940332,9.359303754753421e-05,9.359303754753421e-05,9.359303754753421e-05,152.0,27999980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n1000000_k1000_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,1000000,1000,999.9999999999999,0.0001,3,ok,2.6417669000074966,2.6189405000041006,2.683430050004972,0.054171199997654185,2.585528499999782,9.429886263965595e-05,9.429886263965595e-05,9.429886263965595e-05,152.0,55999980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
