slr_paper_id,doi,zotero_item_key,title,match_method
107e6a53aff5,10.1109/tc.2020.3038063,8MX3A8JU,Credit Risk Analysis Using Quantum Computers,doi
109c9406f3df,10.1109/tqcebt59414.2024.10545170,M4S58D7X,"Quantum Graph Neural Networks for Portfolio Optimization in Complex Financial Markets, A Novel Approach",doi
10be86fe1795,10.1109/urtc60662.2023.10535032,88ZZCCJE,A Comparative Analysis of Hybrid Quantum Neural Networks in Binary Credit Defaulting Tasks,doi
10e947e4e6c8,10.48550/arxiv.2303.13109,PTPMQ32R,Optimizing Quantum Algorithms on Bipotent Architectures,doi
115e509ec529,10.5281/zenodo.17924888,V3RVBKX6,Hybrid Quantum Market State Inference for Ultra-Short-Horizon Financial Prediction,doi
11aa443287c0,10.48550/arxiv.1811.03975,W69PSX8V,Quantum computational finance: quantum algorithm for portfolio optimization,doi
11ff02556b47,10.21203/rs.3.rs-3308876/v1,KEXEQK36,Quantum support vector machines for classification and regression on a trapped-ion quantum computer,doi
1292782ed153,10.1109/esci63694.2025.10988262,5TUAC36W,CryptoQNet: Leveraging Quantum Computing for Enhanced Cryptocurrency Market Analysis,doi
12a26364b038,10.1109/QAI63978.2025.00076,XWV6KG6J,Evaluating Quantum Amplitude Estimation for Pricing Multi-Asset Basket Options,doi
136790c5fbc5,10.48550/arxiv.2508.06236,8MTXHMW5,Space and Time Cost of Continuous Rotations in Surface Codes,doi
146a99b9b311,10.48550/arxiv.2205.15822,TRJ5P42Z,Intermediate Qutrit-based Improved Quantum Arithmetic Operations with Application on Financial Derivative Pricing,doi
148be08400da,10.1002/qute.202300065,EJ78ASSD,Quantum Quantile Mechanics: Solving Stochastic Differential Equations for Generating Time-Series,doi
14b3e6b32874,10.48550/arxiv.2505.04304,ACM7EMX3,Quantum Circuits for the Black-Scholes equations via Schrödingerisation,doi
14ceb7e36df7,10.48550/arxiv.2402.17148,F24FN5JZ,Time series generation for option pricing on quantum computers using tensor network,doi
163d8d584a33,10.1109/icimia67127.2025.11200988,56FIKAD9,Hybrid QLSTM Framework for Time Series Forecasting in Dynamic Financial Markets,doi
1696f0ac9e8f,10.1109/WSC68292.2025.11339097,GP35DVPZ,Connecting Quantum Computing with Classical Stochastic Simulation,doi
169a37e1a08c,10.48550/arxiv.2410.16265,CM5ASWBU,Quantifying the advantages of applying quantum approximate algorithms to portfolio optimisation,doi
16d418f1da92,10.3390/e25040593,UNIRF3VF,A More General Quantum Credit Risk Analysis Framework,doi
173cd12aee6b,10.3390/risks10120221,57MXVESF,A Quantum Algorithm for Pricing Asian Options on Valuation Trees,doi
1760158c7e1b,10.3929/ethz-b-000428448,D8DENDKC,Option Pricing using Quantum Computers,doi
176f4217cb91,10.1016/j.compeleceng.2024.109302,BJWMSAQ8,Explainable hybrid quantum neural networks for analyzing the influence of tweets on stock price prediction,doi
1858371f4c44,10.13140/rg.2.2.10881.31842,BPT7J9EJ,Autonomous Quantum Agents for Portfolio Optimization: Orchestrating QAOA Workflows on Cloud Quantum Simulators,doi
18e20fb363bd,10.6025/jisr/2019/10/3/97-104,R7XPGFCJ,Forecasting Financial Risk using Quantum Neural Networks,doi
19cfac96e8fe,10.48550/arxiv.2507.12835,T9XCKBTB,Quantum-Enhanced Reinforcement Learning with LSTM Forecasting Signals for Optimizing Fintech Trading Decisions,doi
1a0d37057236,10.1007/978-3-032-13855-2_8,KZB3878H,IQNN-CS: Interpretable Quantum Neural Network for Credit Scoring,doi
1b554a506320,10.1109/punecon67554.2025.11379349,R8RZFVGM,"A Study on Quantum and Classical Simulations for Molecular Systems, Materials Science and Financial Modeling",doi
1b74322cf6a1,10.1109/qce65121.2025.10320,R4D2ZGCR,On Quantum Bsde Solver for High-Dimensional Parabolic Pdes,doi
1b7d8c497d7d,10.48550/arxiv.2201.09845,5FQI43XA,A Generalized Quantum Inner Product and Applications to Financial Engineering,doi
1bad58b8e8e7,10.48550/arxiv.2602.09047,5CQM733P,Empirical Evaluation of QAOA with Zero Noise Extrapolation on NISQ Hardware for Carbon Credit Portfolio Optimization in the Brazilian Cerrado,doi
1bf5fc02b95b,10.1109/netcrypt65877.2025.11102801,7G8VCFK3,QEA-FAD: Quantum Enhanced Autoencoders for Anomaly Detection in Finance and Healthcare,doi
1bf880322e6f,10.48550/arxiv.2602.03725,6JA69JPI,Quantum Speedups for Derivative Pricing Beyond Black-Scholes,doi
1c4934de7d9a,10.12178/1001-0548.2022019,HEGAKF8F,The Application of Quantum Approximation Optimization Algorithm in Portfolio Optimization,doi
1d44742c9e15,10.48550/arxiv.2207.01277,QMAJUEEQ,Pricing multi-asset derivatives by variational quantum algorithms,doi
1de0ca5e8cf2,10.1145/3718751.3718859,5XB5FAGJ,Quantum Machine Learning Based on K-Means to Optimize Cross-Border Intelligent Payment Supervision,doi
1f628b8e78f9,10.48550/arxiv.2601.03802,2UB245HJ,Quantum vs. Classical Machine Learning: A Benchmark Study for Financial Prediction,doi
1f8bcb9fc16e,10.48550/arxiv.2601.06392,XH6JJ3E8,Continual Quantum Architecture Search with Tensor-Train Encoding: Theory and Applications to Signal Processing,doi
20bf1514a7e4,10.48550/arXiv.2411.10254,RVXAT3DJ,Uncertainty in Supply Chain Digital Twins: A Quantum-Classical Hybrid Approach,doi
21611a37dd85,10.1140/epjb/s10051-024-00786-1,KC62EB4I,Synthetic data generation with hybrid quantum-classical models for the financial sector,doi
21e9746e62c2,10.22331/q-2021-07-28-513,IHBHCMPR,Quantum walk-based portfolio optimisation,doi
223ed1df56d0,10.1109/QCE60285.2024.00061,Y9REJZ2P,Electric Power Demand Portfolio Optimization by Fermionic QAOA with Self-Consistent Local Field Modulation,doi
24946c5b6c21,10.22331/q-2022-07-20-770,94I5QJ94,Towards Quantum Advantage in Financial Market Risk using Quantum Gradient Algorithms,doi
251a3166cf94,10.5281/zenodo.18418054,59R6PC7X,hgribeirogeo/qaoa-carbon-cerrado: v1.0 - Initial Release for Quantum Journal Submission,doi
25a848404367,10.48550/arxiv.2502.15742,AGRSG7JI,"Currency Arbitrage Optimization using Quantum Annealing, QAOA and Constraint Mapping",doi
25b9eceec1f2,10.48550/arxiv.2602.21562,CPDG2SKM,Performance Comparison of QAOA Mixers for Ternary Portfolio Optimization,doi
26668f5bb362,10.2174/0123520965377470250225062938,4Q7MTHH5,Quantum-Enhanced AI and Machine Learning: Transforming Predictive Analytics,doi
26d9ab80fc82,10.3390/math13152505,2MH8K5ZK,Research on Financial Stock Market Prediction Based on the Hidden Quantum Markov Model,doi
270d264b98f3,10.1109/tetci.2025.3593781,PA3AP9VZ,Quantum Option Profit and Loss Encoding for Risk Assessment,doi
275c6ba05906,10.21203/rs.3.rs-3642109/v1,PQXHUDJQ,A Novel Approach for Quantum Financial Simulation and Quantum State Preparation,doi
2849bbcb864e,10.48550/arxiv.2511.19150,DI3SR2JT,Feature Ranking in Credit-Risk with Qudit-Based Networks,doi
288305d31b7d,10.1088/1742-6596/2416/1/012002,7PE3FREE,Towards practical Quantum Credit Risk Analysis,doi
2896abff2596,10.1109/qce65121.2025.10374,BNIFFR99,Hybrid Quantum-Classical Transfer Learning Model for Credit Risk Assessment with Reduced Quantum Overhead and Enhanced Minority Class Prediction,doi
28ab67c2d22a,10.1109/QCE57702.2023.00041,SN95ADNI,Experimental Demonstration of Fermionic QAOA with One-Dimensional Cyclic Driver Hamiltonian,doi
291abba8a19e,10.1109/tsc.2025.3635525,S9FCD4KC,QuanFraud: Quantum State Verification Scheme for Fraud Detection in IoT-Assisted Quantum-Blockchain Networks,doi
29cfef5a271e,10.48550/arxiv.2307.14310,4SX96BVJ,Derivative Pricing using Quantum Signal Processing,doi
29f4e9099932,10.48550/arxiv.2309.13961,9D92RXL7,A hybrid quantum-classical approach to warm-starting optimization,doi
2a0770a1a995,10.48550/arxiv.2306.12965,KWDKHKTD,Improved Financial Forecasting via Quantum Machine Learning,doi
2a5efc7b8178,10.1109/ICEdge67252.2025.11412890,3PQPWZ9K,Design of a Blockchain-Driven Quantum Identity Model Using QHA-AC FQET and RL-QIDA Methods in Cloud Microservices,doi
2a646809136c,10.1109/urtc65039.2024.10937533,BRMBCAHR,Hybrid Quantum-Classical Method for Bank Account Fraud Detection using Quantum Encoding and Quantum Machine Learning,doi
2a9cd8a96604,10.1088/2632-2153/ad6be8,3T22TEHJ,Quantum support vector data description for anomaly detection,doi
2abf80ef91e3,10.36227/techrxiv.175295886.67877890/v1,ACR4ZCCZ,Optimizing Hybrid Quantum-Classical Models Using Parameterized Quantum Circuits for Time-Series Forecasting,doi
2b18608f6860,10.48550/arXiv.2506.15936,7VVRYZA6,Mixed-Signal Quantum Circuit Design for Option Pricing Using Design Compiler,doi
2b48b0e90efa,10.1088/2058-9565/ace474,6DDBH6QF,Multiobjective variational quantum optimization for constrained problems: an application to Cash Management,doi
2b4dc3c2ba75,10.22541/au.176764501.12582212/v1,28DQ2LG7,Quantum Algorithms for Stochastic Differential Equations: Achieving Polynomial and Super-Polynomial Speedups for High-Dimensional Systems,doi
2c22225a38e7,10.48550/arxiv.2601.13956,9K67VPJ6,Tensor Network Assisted Distributed Variational Quantum Algorithm for Large Scale Combinatorial Optimization Problem,doi
2cfd7c834099,10.48550/arxiv.2506.20930,FVDSW7QX,Quantum Reinforcement Learning Trading Agent for Sector Rotation in the Taiwan Stock Market,doi
2dc8d62cecac,10.22331/q-2024-01-18-1231,RTBPKUWJ,Parameter Setting in Quantum Approximate Optimization of Weighted Problems,doi
2e9f88ec6794,10.48550/arxiv.2511.14389,9GJZF4JN,Quantum speed-ups for solving semidefinite relaxations of polynomial optimization,doi
2fe0d0f15604,10.48550/arxiv.2303.02797,MAWTQ2M9,Variational Quantum Eigensolver for Classification in Credit Sales Risk,doi
30c35313cb34,10.33545/27068919.2025.v7.i3b.1570,7JXC5VDN,"Quantum computing in financial portfolio optimization: Case-based insights into efficiency, risk management, and market impact",doi
313a1d740d27,10.30574/wjaets.2025.15.2.0694,H3IMVFH4,Quantum Kernel methods for anomaly detection in high-velocity data streams,doi
313b9bc5d24e,10.13121/polito/porto/3004947,3DUV3Q7F,Quantum Computing: analysis and design of quantum algorithms for financial applications,doi
320a8a288a8a,10.1145/3736426.3736484,7BWWA5VZ,Stock Market Forecasting Based on Quantum Fuzzy Support Vector Machine,doi
32f23740c07f,10.5281/zenodo.18507119,5CMB5299,hgribeirogeo/qaoa-carbon-cerrado: v2.0 - Seven-Run Validation Study,doi
342ce43a11d1,10.1016/j.jedc.2023.104680,7RR2BPDZ,Quantum Monte Carlo for Economics: Stress Testing and Macroeconomic Deep Learning,doi
344dc568ca5d,10.48047//ijiee.2024.14.4.4,T5CPB8GF,Leveraging Quantum Machine Learning to Optimize High-Frequency Trading Strategies in U.S. Treasuries and Forex Markets,doi
3490f229360e,10.48550/arxiv.2206.11937,5PWDGKQQ,Copula-based Risk Aggregation with Trapped Ion Quantum Computers,doi
349c85ac46df,10.48550/arxiv.2101.04023,UU3H3PIQ,Efficient Hamiltonian Simulation for Solving Option Price Dynamics,doi
34f8784d073c,10.34706/de-2020-02-05,AWZD4CXE,Квантовая модель блуждания финансовых опционов,doi
34fc27290f18,10.48550/arxiv.2412.19150,DBAVVDSP,Scaling the Variational Quantum Eigensolver for Dynamic Portfolio Optimization,doi
3506790b2a7a,10.3390/e27090906,9SV9FXWG,HQRNN-FD: A Hybrid Quantum Recurrent Neural Network for Fraud Detection,doi
35505140af55,10.1109/icctdc64446.2025.11158810,7VV6WN68,Quantum Computing for Fraud Detection in Real-Time Payment Systems,doi
35c7b4d830d5,10.1002/rfe.1219,5829CAHZ,Market informed portfolio optimization methods with hybrid quantum computing,doi
36432eaf1f31,10.48550/arxiv.2505.13019,98HMMXJG,Characterizing asymmetric and bimodal long-term financial return distributions through quantum walks,doi
36cd7ccae10c,10.32628/ijsrset221656,Q675WRCR,AI-Powered Risk Modeling in Quantum Finance : Redefining Enterprise Decision Systems,doi
3716460f49f0,10.1007/s11128-022-03453-5,3CXBJWW9,Quantum algorithms for numerical differentiation of expected values with respect to parameters,doi
3745da394b88,10.1109/qce57702.2023.10245,K2ZQUDJP,Efficient and Flexible Annealer-Gate Hybrid Model for Solving Large-Scale Portfolio Optimization,doi
374d8058ad85,10.48550/arxiv.2510.04736,E8N97H43,Quantum Subgradient Estimation for Conditional Value-at-Risk Optimization,doi
378c2a73ea46,10.21203/rs.3.rs-6569585/v1,H35ZNCED,"Impacting Financial Predictions &amp;amp; Security through Quantum Support Vector Machines, Quantum Approximate Optimization, and Quantum-Resistant Lattice Cryptography",doi
381642996201,10.54938/ijemdcsai.2024.03.1.319,8M69E2ZG,Quantum Variational Autoencoders for Predictive Analytics in High Frequency Trading Enhancing Market Anomaly Detection,doi
38f680153dba,10.1109/tqe.2021.3128643,HKRTMB5F,Pricing Multi-Asset Derivatives by Finite-Difference Method on a Quantum Computer,doi
391f50f8c3f0,10.48550/arxiv.1908.10778,UZ9F7PP4,Classical versus Quantum Models in Machine Learning: Insights from a\n Finance Application,doi
39290e564de1,10.64206/9pden248,FR7IM9C7,Quantum Risk Modeling Redefining Actuarial Science with Quantum Algorithms,doi
394c63b275d9,10.1140/epjs/s11734-025-01703-y,GGD4CKKE,Enhancing variational quantum classifier performance with meta-heuristic feature selection for credit card fraud detection,doi
394db2cbf8da,10.2139/ssrn.5793303,J3NFAYV9,Quantum Approximate Optimization Algorithm for Portfolio Selection: A Comparative Study with Classical Markowitz Optimization,doi
39e897283cac,10.48550/arxiv.2305.01480,528MV26U,Exploring the synergistic potential of quantum annealing and gate model computing for portfolio optimization,doi
3a533a166c84,10.48550/arxiv.2509.17876,CE68NIHP,Quantum Portfolio Optimization: An Extensive Benchmark,doi
3adb18321a79,10.1088/1367-2630/ac7f26,V7UCVPVZ,Quantum Quantitative Trading: High-Frequency Statistical Arbitrage Algorithm,doi
3b7d3889d285,10.48550/arxiv.2007.01467,RR2EMBK9,Quantum Pricing with a Smile: Implementation of Local Volatility Model on Quantum Computer,doi
3bf7bbec10c5,10.62802/v4s4xf98,AN4UC9T5,AI–Quantum Hybrid Models for Organizational Risk Forecasting and Crisis Management,doi
3c79c53d5d90,10.48550/arxiv.2112.08347,KYWCNGGG,Portfolio Optimization with Digitized-Counterdiabatic Quantum Algorithms,doi
3da55df6ffd8,10.1109/asiancon66527.2025.11280952,CXHZFVR3,Quantum-Based Stock Price Forecasting with Stop Loss and False Breakout Analysis,doi
3da861e7eb53,10.48550/arxiv.2509.16955,W8ZMFEB6,Quantum Adaptive Self-Attention for Financial Rebalancing: An Empirical Study on Automated Market Makers in Decentralized Finance,doi
3ee4e2ce5b7d,10.1103/PhysRevA.102.022424,XHGNJVQI,Reduction of Qubits in Quantum Algorithm for Monte Carlo Simulation by Pseudo-random Number Generator,doi
3f4c5ad6749d,10.1103/PhysRevA.103.032414,DKJ8JBF6,Quantum unary approach to option pricing,doi
3f8ab7317ca4,10.1103/l5r4-zcqv,QPX7XQ99,Extrapolation method to optimize linear-ramp quantum approximate optimization algorithm parameters: Evaluation of runtime scaling,doi
3fe31dea1f88,10.48550/arxiv.2211.04456,F9Q6KZJ2,Quantum Risk Analysis: Beyond (Conditional) Value-at-Risk,doi
40ca827d69b9,10.17771/pucrio.acad.73105,73CXIRA8,FRAUD DETECTION USING RESTRICTED BOLTZMANN MACHINES ASSISTED BY QUANTUM COMPUTING,doi
40e4c7fdd4ac,10.1103/PhysRevResearch.4.013006,RIHIUIPQ,Dynamic Portfolio Optimization with Real Datasets Using Quantum Processors and Quantum-Inspired Tensor Networks,doi
413125f4264b,10.1109/qce60285.2024.00067,DS7S4K4N,Derivative Pricing and Credit Risk in a Regime Switching Economy Using Quantum Amplitude Estimation,doi
41d2d7bb257a,10.1109/QAI63978.2025.00021,SZUB3TJA,Enhancing Credit Risk Prediction Through Co-Trained Hybrid Quantum Transfer Learning Model,doi
42c7641a302c,10.1038/s41598-026-36333-4,VHBTBMWE,Multiclass portfolio optimization via variational quantum Eigensolver with Dicke state ansatz,doi
442120a782de,10.1109/tqe.2024.3425969,EMNFG9B2,Energy Risk Analysis With Dynamic Amplitude Estimation and Piecewise Approximate Quantum Compiling,doi
44997e238c7a,10.48550/arxiv.2311.00825,3AVDIS7W,Quantum Computational Algorithms for Derivative Pricing and Credit Risk in a Regime Switching Economy,doi
455f0fa41521,10.5573/ieiespc.2024.13.5.472,2JXGRWJR,Research on the Design of Financial Data Analysis Platform with Joint PSO-HQCNN and RPA Robot Visualization Technology,doi
46db6505e091,10.48550/arxiv.2412.03158,G2UTVJ72,LEP-QNN: Loan Eligibility Prediction using Quantum Neural Networks,doi
46e6281cc0ea,10.1088/1402-4896/ad0184,8FJWJ4AA,A quantum feature selection framework via ground state preparation,doi
470b798927ef,10.48550/arxiv.2504.08577,HZIU6BFK,Extrapolation method to optimize linear-ramp QAOA parameters: Evaluation of QAOA runtime scaling,doi
4715aa3cb8e4,10.21203/rs.3.rs-7991330/v1,56MXDZZX,A Quantum Neural Network for Fraud Detection Using a Data-Driven Priority Entanglement Scheme,doi
48fad011ea47,10.48550/arxiv.2408.03088,9N4WQ2QS,QADQN: Quantum Attention Deep Q-Network for Financial Market Prediction,doi
49463c91e93f,10.1142/s0219477523400060,F4IJ9EGW,A Hybrid Model of Primary Ensemble Empirical Mode Decomposition and Quantum Neural Network in Financial Time Series Prediction,doi
49dc03e35036,10.22331/q-2021-06-01-463,SS722PAG,A Threshold for Quantum Advantage in Derivative Pricing,doi
4a6b7f9ddc5a,10.48550/arxiv.2208.14749,5JXDKAEM,A Quantum Online Portfolio Optimization Algorithm,doi
4b22c753a5a4,10.48550/arxiv.2304.12501,3SDAA4KQ,The cross-sectional stock return predictions via quantum neural network and tensor network,doi
4bfe441a5ebe,10.48550/arxiv.2312.15871,VGCGRQW6,Option pricing under stochastic volatility on a quantum computer,doi
4c50b01d13fe,10.48550/arXiv.2504.13532,CURFET7Q,Quantum Walks-Based Adaptive Distribution Generation with Efficient CUDA-Q Acceleration,doi
4d0406b8b736,10.30574/wjaets.2024.12.1.0057,ZQDI6FA6,Advanced frameworks for fraud detection leveraging quantum machine learning and data science in fintech ecosystems,doi
4dbaf2b286bf,10.1016/j.knosys.2026.115659,FI9VUNUG,A Noisy Optimization mechanism for variational quantum classifiers,doi
4eb84ca51d29,10.1007/978-3-032-13852-1_35,WFASP5HN,Quantum Amplitude Estimation in Practice: A Case Study in Option Pricing,doi
4f6bef33b4be,10.1103/physrevresearch.5.043117,AVK2ZJGI,Financial risk management on a neutral atom quantum processor,doi
5081ec6b6068,10.48550/arXiv.2510.15903,IZEDEHZ4,Quantum and Classical Machine Learning in Decentralized Finance: Comparative Evidence from Multi-Asset Backtesting of Automated Market Makers,doi
5087f7c0e2a3,10.1109/scc53864.2021.00066,ERJELI4D,Quantum Computing for Supply Chain Finance,doi
50989fdc9ad1,10.1038/s41534-026-01191-5,8AAHZRGA,Statistics-informed parameterized quantum circuit: towards practical quantum state preparation and learning via maximum entropy principle,doi
51c76454c0ce,10.48550/arxiv.2502.07806,2GEUQMMB,Quantum Powered Credit Risk Assessment: A Novel Approach using hybrid Quantum-Classical Deep Neural Network for Row-Type Dependent Predictive Analysis,doi
52b948ec890d,10.48550/arxiv.2110.15870,SWQ7NHFS,Hybrid Quantum-Classical Algorithms for Loan Collection Optimization with Loan Loss Provisions,doi
52d4de91b1d0,10.5281/zenodo.8385613,R3BEC585,Quantum neural network benchmarking: Time series predictions with finance forecasting as a use case,doi
539aec92356c,10.48550/arxiv.2209.08867,FX5XURQJ,Quantum computational finance: martingale asset pricing for incomplete markets,doi
55400536a64e,10.48047/jocaaa.31.4.1430,DMCEKRKI,Optimized Quantum Neural Networks for Anomaly Detection in Securities Transactions,doi
55496bcdeaa7,10.22331/q-2023-01-26-909,NX8CTKP6,Variational quantum algorithm for unconstrained black box binary optimization: Application to feature selection,doi
560d9d98e1cf,10.48550/arxiv.2505.13933,PHXV57R9,Quantum Reservoir Computing for Realized Volatility Forecasting,doi
567af989cf1f,10.1007/s42484-024-00165-0,HIRVDC4S,Quantum support vector machines for classification and regression on a trapped-ion quantum computer,doi
5767f4e56980,10.48550/arxiv.2602.16976,MHJAQMW4,"HQFS: Hybrid Quantum Classical Financial Security with VQC Forecasting, QUBO Annealing, and Audit-Ready Post-Quantum Signing",doi
5781ce30742b,10.1038/s41534-023-00787-5,J8K3M87U,Alignment between initial state and mixer improves QAOA performance for constrained optimization,doi
57ed01f77bc6,10.1109/tqcebt54229.2022.10041475,KEEZG5DB,Comparative Study between Quantum and Classical Methods: Few Observations from Portfolio Optimization Problem,doi
58470ab028ef,10.1109/access.2024.3496901,4TXW8P9F,Quantum Autoencoder for Enhanced Fraud Detection in Imbalanced Credit Card Dataset,doi
58a29f9f57a7,10.1109/icicnis66685.2025.11315779,B5D9R6ME,Hybrid Quantum-Classical Models and Optimization Techniques for Financial Fraud Detection,doi
58e7ea9324df,10.5281/zenodo.7149256,AJ26EXPI,D5.4 Evaluation of quantum algorithms for pricing and computation of VaR,doi
58f18c1145e8,10.1088/2632-2153/ab9009,XEDASJNQ,Classical versus quantum models in machine learning: insights from a finance application,doi
58f4450b9cce,10.1109/icdim.2018.8847063,2PW72SCG,Forecasting Financial Risk using Quantum Neural Networks,doi
596d3496c56c,10.48550/arxiv.2307.08191,VHTT8GK7,Unleashing the Potential of LLMs for Quantum Computing: A Study in Quantum Architecture Design,doi
5b5fd3a147af,10.48550/arxiv.2202.06782,WTSURMNI,Wasserstein Solution Quality and the Quantum Approximate Optimization Algorithm: A Portfolio Optimization Case Study,doi
5b6f77b75bb0,10.48175/ijarsct-31116,GSFTB3PI,Hybrid Quantum–Classical Learning Approaches for Scalable Optimization Beyond NISQ Limitations,doi
5bc05961fdc0,10.48550/arxiv.2308.03575,QSBHQFUB,Quantum Machine Learning for Credit Scoring,doi
5bd5a79bc18a,10.48550/arxiv.2309.12627,YS8BPW57,A Quantum Computing-based System for Portfolio Optimization using Future Asset Values and Automatic Reduction of the Investment Universe,doi
5beb1712456c,10.1145/3651640.3651650,8IFPSBGD,Using Quantum Monte Carlo Simulation to Price Complicated Derivatives In the Big Data Environment,doi
5c6681f9692d,10.48550/arxiv.2203.14432,UWVQ4UA6,"Encoding trade-offs and design toolkits in quantum algorithms for discrete optimization: coloring, routing, scheduling, and other problems",doi
5c8930702b41,10.36227/techrxiv.22679857,86G9TTJD,Backtesting quantum computing algorithms for portfolio optimization,doi
5df5e7a67f88,10.48550/arxiv.2402.00653,D8BTMAZ5,Coherent Feed Forward Quantum Neural Network,doi
5eeda9c337d5,10.48550/arxiv.2512.03696,834J3V9A,Quantum Topological Graph Neural Networks for Detecting Complex Fraud Patterns,doi
5f1b1731f44b,10.1177/29767032231217444,7W5UH93K,Quantum Financial Modeling on Noisy Intermediate-Scale Quantum Hardware: Random Walks using Approximate Quantum Counting,doi
5f3cabc4cfc6,10.48550/arxiv.2311.05537,4GAU3985,An introduction to financial option pricing on a qudit-based quantum computer,doi
5f49a38c731d,10.1002/isaf.70033,WUUZN4KF,Ordered Weighted Average Operators Into Deep Learning and Quantum Computing for Algorithmic Trading,doi
5f5133229f76,10.3390/computers14080310,FPJ6I6RI,Spectral Graph Compression in Deploying Recommender Algorithms on Quantum Simulators,doi
60a05fb7a728,10.21203/rs.3.rs-4590355/v1,PJ9E7AKK,A New Initial Distribution for Quantum Generative Adversarial Networks to Load Probability Distributions,doi
61102309a95a,10.1109/incos59338.2024.10527612,FHH5JFJC,Enhancing Quantum Machine Learning Algorithms for Optimized Financial Portfolio Management,doi
